Service Type,Operator Name,KwikAPI Operator ID,Transaction Count,Total Amount (INR),First Transaction Date,Last Transaction Date,Status
PREPAID,Jio Prepaid,8,5,1035.00,2025-12-29 06:38:11,2026-02-06 13:56:44,ACTIVE
PREPAID,Airtel Prepaid,1,5,629.00,2025-12-24 03:56:23,2026-02-01 07:38:02,ACTIVE
PREPAID,VI,3,1,199.00,2026-02-06 08:58:03,2026-02-06 08:58:03,ACTIVE
DTH,TATA SKY DTH,27,1,308.00,2026-01-22 14:53:23,2026-01-22 14:53:23,ACTIVE
ELECTRICITY,MSEDC MAHARASHTRA,76,3,3390.00,2026-01-30 18:20:31,2026-02-07 08:02:49,ACTIVE
